track_name,artist_name,valence,energy
Song 2 - 2012 Remaster,Blur,0.918,0.789
DYSFUNCTIONAL,KAYTRANADA,0.886,0.805
Soldiers,Otherwise,0.712,0.877
Hard To Handle,The Black Crowes,0.961,0.79
Run-Around,Blues Traveler,0.847,0.899
Tranz,Gorillaz,0.779,0.883
Playground,Steve Lacy,0.854,0.788
The Beautiful People,Marilyn Manson,0.911,0.837
Renegades Of Funk,Rage Against The Machine,0.769,0.908
Girls,The 1975,0.897,0.913
Heads Will Roll,Yeah Yeah Yeahs,0.807,0.901
You Only Live Once,The Strokes,0.968,0.908
High,Sir Sly,0.722,0.733
Celebrity Skin,Hole,0.723,0.905
Lying from You,Linkin Park,0.723,0.951
Basement Jack,Steve Lacy,0.912,0.931
Jerk It Out,Caesars,0.861,0.981
Given Up,Linkin Park,0.938,0.885
"Baby, Baby",Amy Grant,0.919,0.901
UGH!,The 1975,0.855,0.709
Come Out And Play (Keep ‘Em Separated),The Offspring,0.847,0.856
Me Gustas Tu,Manu Chao,0.908,0.741
Feels Like Summer,Weezer,0.74,0.867
Cannonball,The Breeders,0.729,0.758
Queen of Memphis - Remastered Version,Confederate Railroad,0.842,0.803
Mamma Don't Know,Randy Houser,0.814,0.747
Shreveport,Turnpike Troubadours,0.707,0.797
Miles and Mud Tires,Granger Smith,0.908,0.751
Lights Down Low,Jessie James Decker,0.906,0.877
The Way I See It,Mason Ramsey,0.831,0.931
Laid Back,Mitchell Tenpenny,0.857,0.907
She's A Hottie - Single Version,Toby Keith,0.741,0.91
Rich - Radio Edit,Maren Morris,0.849,0.877
Hello It's Me,Todd Rundgren,0.779,0.848
KMAG YOYO,Hayes Carll,0.773,0.93
"Mexico, Tequila And Me",Alan Jackson,0.732,0.827
Change the Whole Thing,Maggie Rose,0.874,0.744
Tennessee Flat Top Box,Rosanne Cash,0.964,0.767
American Grown,Upchurch,0.899,0.779
Rumor Has It,Clay Walker,0.701,0.727
Waiting On You,Lindsay Ell,0.794,0.781
Room To Breathe,Chase Bryant,0.799,0.761
Payback,Rascal Flatts,0.752,0.957
Dirty Side (feat. Walker Hayes),Colt Ford,0.92,0.879
Hung up on You,Jayne Denham,0.702,0.765
Take Me To The Pilot,Brothers Osborne,0.751,0.845
Hot Mess,Tyler Farr,0.713,0.869
Redneck Rockstar (feat. Upchurch the Redneck),Drew Jacobs,0.71,0.729
Best Thing You've Ever Done,Luke Pell,0.733,0.847
Gentle On My Mind,The Band Perry,0.745,0.761
(Hey Baby) Que Paso,Texas Tornados,0.924,0.74
Nobody's Girl,Reckless Kelly,0.709,0.776
Buzzin' (feat. RaeLynn),Blake Shelton,0.896,0.82
"Live, Laugh, Love",Clay Walker,0.946,0.746
Steal My Kiss,Taylor Ray Holbrook,0.811,0.787
Cricket On A Line Featuring Rhett Akins,Colt Ford,0.909,0.725
Got Me Like Whoa,Drew Jacobs,0.775,0.799
How Bad Could One Kiss Hurt,Dylan Schneider,0.787,0.843
You Do the Talkin',Chris Young,0.792,0.92
Let 'Er Rip,Dixie Chicks,0.721,0.853
Leave The Night On - Acoustic Mixtape,Sam Hunt,0.879,0.701
In A Little While,Uncle Kracker,0.912,0.935
County Fair,Chris LeDoux,0.942,0.89
It's A Little Too Late - 1996 Greatest Hits Version,Mark Chesnutt,0.812,0.903
Her Own Kind Of Beautiful,Chris Lane,0.916,0.935
Outshine Me,Colt Ford,0.943,0.778
Cold Beer (feat. Jamey Johnson),Colt Ford,0.913,0.787
Hotel Key - Recorded at Sound Stage Studios Nashville,Old Dominion,0.725,0.839
Come And Get It,Kip Moore,0.735,0.874
Hot Mama,Trace Adkins,0.77,0.84
Nothin' On You,Randy Houser,0.936,0.938
Molotov,Jason Isbell and the 400 Unit,0.876,0.765
Kick A Little,Little Texas,0.947,0.86
My Truck (feat. Tyler Farr),Colt Ford,0.788,0.863
Playboys Of The Southwestern World,Blake Shelton,0.712,0.829
Kick Drum Heart,The Avett Brothers,0.807,0.927
Bigger,Sugarland,0.932,0.908
Overnight Male - Pure Country/Soundtrack Version,George Strait,0.898,0.73
Real Good Time,Aaron Watson,0.85,0.797
Choctaw Bingo,James McMurtry,0.728,0.797
Friend Zone,Danielle Bradbery,0.762,0.805
Old Enough to Know Better,Wade Hayes,0.965,0.836
Found,Dan Davidson,0.85,0.796
You Ain't Country,Bottleneck,0.926,0.835
We Do It in a Field,Granger Smith,0.869,0.868
(If You're Not In It For Love) I'm Outta Here!,Shania Twain,0.868,0.761
About The South,Rodney Atkins,0.857,0.939
Don't Cuss the Fiddle - Remastered,Waylon Jennings,0.822,0.709
Lost and Found,Brooks & Dunn,0.779,0.786
It Must Be Love - Single Version,Ty Herndon,0.727,0.784
Get Up,Cole Swindell,0.831,0.715
Your Side Of Town,Maddie & Tae,0.739,0.951
This City,Lady Antebellum,0.745,0.922
Wanted,Jessie James Decker,0.888,0.768
Move It On Out,Scotty McCreery,0.944,0.822
Freeze-Frame,The J. Geils Band,0.934,0.806
Right Where We Want It,Dustin Lynch,0.732,0.747
Insecure,RaeLynn,0.836,0.786
Is That A Tear,Tracy Lawrence,0.754,0.717
I Like You a Lot,Jake Owen,0.868,0.947
Run Run Rudolph,Luke Bryan,0.872,0.972
I Don't Even Know Your Name,Alan Jackson,0.827,0.93
Hallelujah Nights,LANCO,0.764,0.931
Adrenaline,Tyler Rich,0.74,0.702
Sag in Her Boobs,Outlaw,0.748,0.815
Half Broke Heart,Cam,0.953,0.89
Down on Washington,Turnpike Troubadours,0.749,0.866
Pass A Beer,Jake Owen,0.772,0.878
Cadillac Style,Sammy Kershaw,0.861,0.845
Crazy Eddie's Last Hurrah,Reckless Kelly,0.735,0.87
What Ya Got On Tonight,Kip Moore,0.887,0.876
