track_name,artist_name,valence,energy
Night and Day,The King's Singers,0.108,0.0998
Cry Me a River,The King's Singers,0.0775,0.0525
My Funny Valentine,The King's Singers,0.0888,0.0499
Don't Know Much (with Aaron Neville),Linda Ronstadt,0.267,0.285
You'll Never Leave Harlan Alive,Brad Paisley,0.226,0.301
I Love the Way You Love Me,John Michael Montgomery,0.244,0.328
Old Blue Chair,Kenny Chesney,0.285,0.311
Cold Feet,Tenille Arts,0.208,0.358
Stars In Alabama,Jamey Johnson,0.279,0.345
The Greatest Sum (Acoustic),The Avett Brothers,0.292,0.218
Bridge Over Troubled Water,Johnny Cash,0.266,0.317
Love of My Life,Sammy Kershaw,0.286,0.384
Love Can Build A Bridge,The Judds,0.194,0.0985
Wildfire,Michael Martin Murphey,0.208,0.24
Never Break,Langhorne Slim,0.232,0.175
Find Yourself,Brad Paisley,0.274,0.39
A Little Bit Of Everything,Dawes,0.269,0.393
Skin (Sarabeth),Rascal Flatts,0.252,0.311
Stuff That Works,Guy Clark,0.122,0.0999
Drift Off To Dream - 2006 Remastered Version Edit Version,Travis Tritt,0.174,0.351
How Great Thou Art,Josh Turner,0.239,0.234
How Great Thou Art,Alan Jackson,0.174,0.204
An Empty Glass,Gary Stewart,0.257,0.3
Old Violin,Daryle Singletary,0.145,0.348
The Last Cowboy,Jamey Johnson,0.0603,0.23
That Way Again,Lee Brice,0.199,0.179
The Little Things,Chase Rice,0.27,0.328
Oklahoma Sky,Miranda Lambert,0.0615,0.178
Oh Sarah,Sturgill Simpson,0.0917,0.296
Can't Go Back,Little Big Town,0.108,0.185
Sin City,Dwight Yoakam,0.28,0.192
Thinkin Bout You,Frank Ocean,0.178,0.35
Will He,Joji,0.0872,0.217
The Sound of Silence,Disturbed,0.175,0.28
Electric (feat. Khalid),Alina Baraz,0.134,0.396
Solo,Frank Ocean,0.246,0.287
White Ferrari,Frank Ocean,0.219,0.0924
Easy,Mac Ayres,0.217,0.282
Fade Into You,Mazzy Star,0.175,0.33
Glycerine,Bush,0.0784,0.337
Session 32,Summer Walker,0.117,0.123
Demons,Joji,0.037,0.378
Nikes,Frank Ocean,0.118,0.394
Mile High (feat. Travis Scott & Metro Boomin),James Blake,0.228,0.37
Think About Me,dvsn,0.11,0.294
Never Call Me,Jhene Aiko,0.13,0.309
Grey Luh,Berhana,0.254,0.298
I'LL SEE YOU IN 40,Joji,0.0321,0.377
I Don't Wanna Waste My Time,Joji,0.121,0.234
Bad Religion,Frank Ocean,0.13,0.358
CPR,Summer Walker,0.141,0.369
Dark & Handsome,Blood Orange,0.288,0.389
Yellow Ledbetter,Pearl Jam,0.292,0.354
Forrest Gump,Frank Ocean,0.238,0.386
Bother,Stone Sour,0.141,0.281
Too Fast,Sonder,0.102,0.33
Stan,6LACK,0.174,0.341
Nonchalant,6LACK,0.0617,0.378
Contaminated,BANKS,0.269,0.322
Unfair,6LACK,0.0383,0.266
Lucky,Choker,0.283,0.328
Slow Down,Mac Ayres,0.184,0.338
Bitter Fuck,Joji,0.0723,0.338
What About Love,BANKS,0.172,0.183
Crush,Souly Had,0.296,0.385
Just Breathe,Pearl Jam,0.284,0.359
Sawzall,BANKS,0.173,0.239
Jenny of Oldstones (Game of Thrones),Florence + The Machine,0.171,0.195
East Atlanta Love Letter (feat. Future),6LACK,0.17,0.304
Shadow of the Day,Linkin Park,0.0641,0.393
Unemployed,Tierra Whack,0.139,0.375
Fool For You,Snoh Aalegra,0.259,0.278
Everybody Hurts,R.E.M.,0.166,0.324
